City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,100.25,152.5,1.38,13.73,8.38,8.83,0.1,10.75,132.78,43.2,1017.37,35.2,10.04
Ahmedabad,60.25,95.5,0.88,9.85,5.97,8.23,0.1,8.92,136.7,36.7,1018.25,35.3,18.84
Ahmedabad,56.5,84.5,1.2,12.1,7.4,8.27,0.1,9.1,131.32,36.8,1019.24,35.3,25.62
Ahmedabad,68,103,1.45,18.02,10.75,10.48,0.1,9.5,106.35,33.6,1019.83,35.1,16.83
Ahmedabad,88.25,135.25,1.75,30.03,17.4,11.35,0.1,10.45,87.2,33.4,1020.51,35.2,16.66
Ahmedabad,92,135.5,0.5,19.83,10.92,11.58,0.1,11.65,103.38,31.1,1020.91,35.2,13.0088
Ahmedabad,95.75,136.25,0.5,17.15,9.53,12.67,0.1,12.1,105.85,27.1,1020.6,35.1,11.1734
Ahmedabad,91.5,133.25,0.1,18.75,10,12.45,0.1,11.58,99.48,29.7,1020.39,35.2,12.8156
Ahmedabad,105.5,142,,15.03,7.92,12.97,0.1,12.07,81.85,30.5,1020.34,35.4,13.7494
Ahmedabad,106,139.25,0.1,14.1,7.55,12.6,0.1,15.15,86.23,28.6,1019.7,35.5,15.6331
Ahmedabad,85.5,121.25,0.2,13.62,7.4,11.35,0.1,17.08,113.17,33.7,1018.89,35.5,17.549
Ahmedabad,80,114,0.97,14.27,8.35,11.4,0.1,18.12,109.28,31.9,1018.48,35.5,22.7815
Ahmedabad,82.5,121.75,2.97,35.22,21.18,10.15,0.1,15.58,86.73,29.9,1017.87,35.6,23.8924
Ahmedabad,82.25,133.5,2.5,24.32,14.95,10.98,0.1,15.48,103.9,29.8,1017.56,35.7,28.3682
Ahmedabad,75.75,129.5,1.45,14.97,9.18,10.85,0.1,18.2,141.6,30.4,1017.38,35.7,26.9031
Ahmedabad,70.5,115,1.7,15.92,9.88,10.4,0.1,18.45,150.92,31.1,1017.58,35.6,25.6956
Ahmedabad,66,121,1.7,18.1,11.05,9.9,0.1,17.15,155.8,32.9,1017.65,35.6,25.3092
Ahmedabad,62.25,118.5,2.27,17.78,11.28,7.65,0.1,125.3,147.97,35,1017.36,35.4,18.1125
Ahmedabad,57.5,104.25,149.2,117.72,182.55,,0.1,14.95,145.03,37.7,1016.8,35.5,23.4255
Ahmedabad,49.75,91.5,1.53,15.48,9.48,13.85,0.03,11.12,149.92,36,1016.64,35.5,20.0445
